dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,042-Tucson AZ,28-Paper articles,1-Truck,21.0265,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,29-Printed prods.,1-Truck,10.9119,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,30-Textiles/leather,1-Truck,28.8305,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,31-Nonmetal min. prods.,1-Truck,38.7369,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,32-Base metals,1-Truck,16.559,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,33-Articles-base metal,1-Truck,45.4706,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,34-Machinery,1-Truck,28.8219,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,35-Electronics,1-Truck,45.4429,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,36-Motorized vehicles,1-Truck,21.3018,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,37-Transport equip.,1-Truck,3.8602,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,38-Precision instruments,1-Truck,8.0167,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,39-Furniture,1-Truck,10.1595,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,40-Misc. mfg. prods.,1-Truck,23.7531,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,41-Waste/scrap,1-Truck,6.0714,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,43-Mixed freight,1-Truck,131.5367,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,049-Rest of AZ,01-Live animals/fish,1-Truck,0,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,02-Cereal grains,1-Truck,0.4725,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,03-Other ag prods.,1-Truck,14.6071,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,04-Animal feed,1-Truck,25.8133,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,05-Meat/seafood,1-Truck,0.2325,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,06-Milled grain prods.,1-Truck,0.1804,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,07-Other foodstuffs,1-Truck,24.2432,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,08-Alcoholic beverages,1-Truck,51.2552,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,09-Tobacco prods.,1-Truck,0.0014,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,10-Building stone,1-Truck,0.0153,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,11-Natural sands,1-Truck,7.1824,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,12-Gravel,1-Truck,34.9708,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,13-Nonmetallic minerals,1-Truck,0.3837,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,14-Metallic ores,1-Truck,22.9016,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,15-Coal,1-Truck,0,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,17-Gasoline,1-Truck,0,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,18-Fuel oils,1-Truck,0.0005,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,19-Natural gas and other fossil products,1-Truck,70.7146,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,20-Basic chemicals,1-Truck,117.162,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,21-Pharmaceuticals,1-Truck,1.5754,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,22-Fertilizers,1-Truck,25.8232,61,Los Angeles CA,49,Rest of AZ,,,
061-Los Angeles CA,049-Rest of AZ,23-Chemical prods.,1-Truck,35.6179,61,Los Angeles CA,49,Rest of AZ,,,
